/* DATA DESCRIPTION:
Citation:	Horstmann, Jochen; Carrasco, Ruben; Calil, Paulo H R; Iudicone, Daniele; Pesant, Stephane; Erta, J M (2022): Track of Lagrangian drifter 54 during the Mission Microbiomes with the RV Tara along the eastern coast of Brazil [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.948233, 
	In: Horstmann, J et al. (2022): Drifter position data from the eastern coast of Brazil during the project Mission Microbiomes with the RV Tara [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.948261
Project(s):	Atlantic ECOsystems assessment, forecasting & sustainability (AtlantECO) (URI: https://doi.org/10.3030/862923)
	Fondation Tara Expeditions (FondTara) (URI: https://fondationtaraocean.org/en/home/)
	Mission Microbiomes (MM2020) (URI: https://fondationtaraocean.org/expedition/mission-microbiomes/)
Funding:	Horizon 2020 of the European Commission (H2020) (URI: https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-2020_en), grant/award no. 862923: Atlantic ECOsystems assessment, forecasting & sustainability (URI: https://doi.org/10.3030/862923)
Coverage:	MEDIAN LATITUDE: 14.214083 * MEDIAN LONGITUDE: -69.841922 * SOUTH-BOUND LATITUDE: 5.683250 * WEST-BOUND LONGITUDE: -83.966710 * NORTH-BOUND LATITUDE: 16.540870 * EAST-BOUND LONGITUDE: -51.607060
	DATE/TIME START: 2021-09-03T21:05:01 * DATE/TIME END: 2022-02-01T08:57:07
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 0 m
Event(s):	TARA_Microbiomes_DRIFT-54 * LATITUDE START: 5.683250 * LONGITUDE START: -51.607060 * LATITUDE END: 15.823240 * LONGITUDE END: -83.966710 * DATE/TIME START: 2021-09-03T21:05:01 * DATE/TIME END: 2022-02-01T08:57:07 * LOCATION: Eastern Brazilian coast * CAMPAIGN: MM20210824_LEG-05_035-040_Martin * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Drifter (DRIFT)
Parameter(s):	LATITUDE (Latitude) * GEOCODE * PI: Horstmann, Jochen (https://orcid.org/0000-0002-7979-5736, jochen.horstmann@hereon.de, https://www.hzg.de/institutes_platforms/coastal_research/operational_systems/radar_hydrography/staff/046556/index.php.en) * METHOD/DEVICE: GPS receiver mounted on Lagrangian drifter
	LONGITUDE (Longitude) * GEOCODE * PI: Horstmann, Jochen (https://orcid.org/0000-0002-7979-5736, jochen.horstmann@hereon.de, https://www.hzg.de/institutes_platforms/coastal_research/operational_systems/radar_hydrography/staff/046556/index.php.en) * METHOD/DEVICE: GPS receiver mounted on Lagrangian drifter
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Horstmann, Jochen (https://orcid.org/0000-0002-7979-5736, jochen.horstmann@hereon.de, https://www.hzg.de/institutes_platforms/coastal_research/operational_systems/radar_hydrography/staff/046556/index.php.en)
	Identification (ID) * PI: Horstmann, Jochen (https://orcid.org/0000-0002-7979-5736, jochen.horstmann@hereon.de, https://www.hzg.de/institutes_platforms/coastal_research/operational_systems/radar_hydrography/staff/046556/index.php.en) * COMMENT: DrifterID
	DATE/TIME (Date/Time) * GEOCODE * PI: Horstmann, Jochen (https://orcid.org/0000-0002-7979-5736, jochen.horstmann@hereon.de, https://www.hzg.de/institutes_platforms/coastal_research/operational_systems/radar_hydrography/staff/046556/index.php.en) * COMMENT: UTC
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	38935 data points
*/
Latitude	Longitude	Depth water [m]	ID	Date/Time
5.68325	-51.60706	0	54	2021-09-03T21:05:01
5.68786	-51.61178	0	54	2021-09-03T21:09:32
5.69255	-51.61652	0	54	2021-09-03T21:14:34
5.69674	-51.62140	0	54	2021-09-03T21:19:33
5.70041	-51.62561	0	54	2021-09-03T21:24:34
5.70454	-51.62909	0	54	2021-09-03T21:29:32
5.70887	-51.63367	0	54	2021-09-03T21:34:33
5.71293	-51.63663	0	54	2021-09-03T21:39:32
5.71688	-51.63965	0	54	2021-09-03T21:44:30
5.72094	-51.64269	0	54	2021-09-03T21:49:31
5.72476	-51.64612	0	54	2021-09-03T21:54:31
5.72872	-51.64932	0	54	2021-09-03T21:59:33
5.73303	-51.65262	0	54	2021-09-03T22:04:57
5.73670	-51.65560	0	54	2021-09-03T22:09:34
5.74073	-51.65869	0	54	2021-09-03T22:14:33
5.74467	-51.66196	0	54	2021-09-03T22:19:36
5.74842	-51.66537	0	54	2021-09-03T22:24:34
5.75241	-51.66876	0	54	2021-09-03T22:29:34
5.75620	-51.67212	0	54	2021-09-03T22:34:35
5.76000	-51.67542	0	54	2021-09-03T22:39:39
5.76382	-51.67856	0	54	2021-09-03T22:44:41
5.76753	-51.68195	0	54	2021-09-03T22:49:39
5.77129	-51.68530	0	54	2021-09-03T22:54:42
5.77505	-51.68869	0	54	2021-09-03T22:59:40
5.77917	-51.69241	0	54	2021-09-03T23:05:07
5.78259	-51.69547	0	54	2021-09-03T23:09:38
5.78634	-51.69888	0	54	2021-09-03T23:14:41
5.79008	-51.70227	0	54	2021-09-03T23:19:40
5.79381	-51.70575	0	54	2021-09-03T23:24:43
5.79756	-51.70929	0	54	2021-09-03T23:29:40
5.80131	-51.71277	0	54	2021-09-03T23:34:39
5.80497	-51.71627	0	54	2021-09-03T23:39:37
5.80870	-51.71970	0	54	2021-09-03T23:44:36
5.81242	-51.72324	0	54	2021-09-03T23:49:35
5.81620	-51.72662	0	54	2021-09-03T23:54:34
5.82009	-51.73012	0	54	2021-09-03T23:59:54
5.82417	-51.73364	0	54	2021-09-04T00:04:54
5.82774	-51.73679	0	54	2021-09-04T00:09:35
5.83162	-51.74008	0	54	2021-09-04T00:14:37
5.83547	-51.74332	0	54	2021-09-04T00:19:34
5.83929	-51.74658	0	54	2021-09-04T00:24:32
5.84314	-51.74997	0	54	2021-09-04T00:29:33
5.84699	-51.75336	0	54	2021-09-04T00:34:33
5.85081	-51.75675	0	54	2021-09-04T00:39:32
5.85467	-51.76001	0	54	2021-09-04T00:44:31
5.85843	-51.76340	0	54	2021-09-04T00:49:32
5.86220	-51.76685	0	54	2021-09-04T00:54:31
5.86597	-51.77029	0	54	2021-09-04T00:59:33
5.87010	-51.77390	0	54	2021-09-04T01:04:54
5.87358	-51.77701	0	54	2021-09-04T01:09:31
5.87733	-51.78062	0	54	2021-09-04T01:14:32
5.88111	-51.78397	0	54	2021-09-04T01:19:33
5.88491	-51.78741	0	54	2021-09-04T01:24:32
5.88866	-51.79074	0	54	2021-09-04T01:29:33
5.89240	-51.79416	0	54	2021-09-04T01:34:32
5.89616	-51.79752	0	54	2021-09-04T01:39:36
5.89994	-51.80087	0	54	2021-09-04T01:44:37
5.90358	-51.80426	0	54	2021-09-04T01:49:35
5.90730	-51.80759	0	54	2021-09-04T01:54:38
5.91092	-51.81100	0	54	2021-09-04T01:59:36
5.91477	-51.81467	0	54	2021-09-04T02:04:56
5.91822	-51.81784	0	54	2021-09-04T02:09:38
5.92182	-51.82114	0	54	2021-09-04T02:14:38
5.92543	-51.82441	0	54	2021-09-04T02:19:39
5.92912	-51.82776	0	54	2021-09-04T02:24:40
